route_id,route_name,avg_daily_riders,pct_corridor_no_car,cut_type,neighborhoods_served,is_persona_a_route,is_persona_b_route
Y45,Y45 - BALDWIN MANOR FLYER,74.2,28.7,eliminated,"Overbrook, Brookline, Mount Washington, Central Business District, South Shore",false,false
Y47,Y47 - CURRY FLYER,536.6,24.3,eliminated,"Overbrook, Brookline, Mount Washington, Central Business District, South Shore",false,false
Y49,Y49 - PROSPECT FLYER,676.3,28.7,eliminated,"Overbrook, Brookline, Mount Washington, Central Business District, South Shore",false,false
000,MONONGAHELA INCLINE,0.0,28.0,reduced,None (see geography note),false,false
001,1 - FREEPORT ROAD,1543.3,44.1,reduced,"North Shore, East Allegheny, Allegheny Center, Lincoln-Lemington-Belmar, Central Business District, Troy Hill",false,false
006,6 - SPRING HILL,938.0,38.0,reduced,"Spring Hill-City View, East Allegheny, Northview Heights, Spring Garden, North Shore, Allegheny Center, Summer Hill, Central Business District",false,false
008,8 - PERRYSVILLE,1767.0,37.2,reduced,"Perry South, Perry North, Central Northside, Allegheny Center, East Allegheny, North Shore, Central Business District",false,false
011,11 - FINEVIEW,401.0,44.7,reduced,"Fineview, Perry South, Central Northside, Allegheny Center, East Allegheny, Central Business District, North Shore",false,false
012,12 - MCKNIGHT,947.9,33.5,reduced,"East Allegheny, Perry North, Spring Hill-City View, Allegheny Center, Central Business District, Summer Hill, Northview Heights, North Shore",false,false
013,13 - BELLEVUE,1408.5,43.4,reduced,"Marshall-Shadeland, Brighton Heights, California-Kirkbride, Allegheny Center, Central Northside, Manchester, North Shore, Central Business District",false,false
016,16 - BRIGHTON,2185.0,42.0,reduced,"Brighton Heights, Perry South, Marshall-Shadeland, Allegheny Center, Central Northside, California-Kirkbride, North Shore, Central Business District",false,false
017,17 - SHADELAND,941.1,42.0,reduced,"Marshall-Shadeland, Allegheny Center, Manchester, Central Northside, California-Kirkbride, Brighton Heights, Perry South, East Allegheny, North Shore, Central Business District",false,false
021,21 - CORAOPOLIS,888.7,59.6,reduced,"Esplen, South Shore, Central Business District, Elliott",false,false
022,22 - MCCOY,536.2,59.6,reduced,"Esplen, South Shore, Central Business District, Elliott",false,false
024,24 - WEST PARK,1131.4,59.6,reduced,"Esplen, South Shore, Central Business District, Elliott",false,false
027,27 - FAIRYWOOD,765.6,43.3,reduced,"Windgap, Crafton Heights, Sheraden, Fairywood, Elliott, Chartiers City, West End, Central Business District, South Shore",false,false
028X,28X - AIRPORT FLYER,1298.1,63.4,reduced,"Shadyside, Squirrel Hill North, Central Oakland, North Oakland, Point Breeze, West Oakland, Central Business District, Point Breeze North, South Oakland, South Shore, Bluff, Oakwood, Sheraden, Elliott",false,true
031,31 - BRIDGEVILLE,1040.1,43.3,reduced,"Westwood, Crafton Heights, Oakwood, Central Business District, Elliott, East Carnegie, West End, South Shore",false,false
044,44 - VIA KNOXVILLE,548.4,41.2,reduced,"Beltzhoover, Mount Washington, Allentown, Knoxville, Carrick, Central Business District, Mt. Oliver, St. Clair, South Shore",true,false
048,48 - ARLINGTON,1600.8,42.8,reduced,"South Side Slopes, South Side Flats, Allentown, Arlington, Mount Washington, Arlington Heights, South Shore, Beltzhoover, Central Business District",true,false
051,51 - CARRICK,5417.1,40.7,reduced,"South Side Slopes, Carrick, South Side Flats, Knoxville, South Shore, Central Business District",false,false
053,53 - HOMESTEAD PARK,0.0,22.1,reduced,Lincoln Place,false,false
054,54 - NORTH SIDE-OAKLAND-SOUTH SIDE,2961.7,49.5,reduced,"Knoxville, Bloomfield, Lower Lawrenceville, Polish Hill, North Oakland, Strip District, Allegheny Center, South Side Slopes, Central Northside, Allentown, Central Lawrenceville, North Shore, East Allegheny, South Side Flats, Central Oakland, West Oakland, Allegheny West, South Oakland, Troy Hill, Chateau, Beltzhoover, Bon Air, Mount Washington",true,false
055,55 - GLASSPORT,767.9,28.0,reduced,None (see geography note),false,false
056,56 - LINCOLN PLACE,1008.1,54.9,reduced,"Hazelwood, Lincoln Place, Hays, New Homestead, Central Business District, South Oakland, Bluff",false,false
057,57 - HAZELWOOD,736.5,63.5,reduced,"Hazelwood, Glen Hazel, Central Business District, South Oakland, Bluff, Squirrel Hill South",false,false
