_id,Variable Name,Group or subgroup,Universe or description,Period,Source ACS Table,Calculation
202,Var_vacancy_ChangePer_3,Vacant,Change between periods (percent),na,B25002,Var_vacancy_Change_3/Var_2012_vacancy_3
203,Var_2012_tenure_1,Total Occupied Housing Units,Total Occupied Housing Units,2012,B25003,B25003_001E
204,Var_2012_tenure_2,Owner-Occupied,Total Occupied Housing Units,2012,B25003,B25003_002E
205,Var_2012_tenure_3,Renter-Occupied,Total Occupied Housing Units,2012,B25003,B25003_003E
206,Var_2012_tenure_Per_2,Owner-Occupied,Percent of Total Occupied Housing Units,2012,B25003,Var_2012_tenure_2/Var_2012_tenure_1
207,Var_2012_tenure_Per_3,Renter-Occupied,Percent of Total Occupied Housing Units,2012,B25003,Var_2012_tenure_3/Var_2012_tenure_1
208,Var_2022_tenure_1,Total Occupied Housing Units,Total Occupied Housing Units,2022,B25003,B25003_001E
209,Var_2022_tenure_2,Owner-Occupied,Total Occupied Housing Units,2022,B25003,B25003_002E
210,Var_2022_tenure_3,Renter-Occupied,Total Occupied Housing Units,2022,B25003,B25003_003E
211,Var_2022_tenure_Per_2,Owner-Occupied,Percent of Total Occupied Housing Units,2022,B25003,Var_2022_tenure_2/Var_2022_tenure_1
212,Var_2022_tenure_Per_3,Renter-Occupied,Percent of Total Occupied Housing Units,2022,B25003,Var_2022_tenure_3/Var_2022_tenure_1
213,Var_tenure_Change_1,Total Occupied Housing Units,Change between periods (number),na,B25003,Var_2022_tenure_1 - Var_2012_tenure_1
214,Var_tenure_Change_2,Owner-Occupied,Change between periods (number),na,B25003,Var_2022_tenure_2 - Var_2012_tenure_2
215,Var_tenure_Change_3,Renter-Occupied,Change between periods (number),na,B25003,Var_2022_tenure_3 - Var_2012_tenure_3
216,Var_tenure_ChangePer_1,Total Occupied Housing Units,Change between periods (percent),na,B25003,Var_tenure_Change_1/Var_2012_tenure_1
217,Var_tenure_ChangePer_2,Owner-Occupied,Change between periods (percent),na,B25003,Var_tenure_Change_2/Var_2012_tenure_2
218,Var_tenure_ChangePer_3,Renter-Occupied,Change between periods (percent),na,B25003,Var_tenure_Change_3/Var_2012_tenure_3
219,Var_2012_LF_1,Total Population Age 16 and over,Population Age 16 and over,2012,B23025,B23025_001E
220,Var_2012_LF_2,In Labor Force,Population Age 16 and over,2012,B23025,B23025_002E
221,Var_2012_LF_3,Civilian Labor Force,Population Age 16 and over,2012,B23025,B23025_003E
222,Var_2012_LF_4,Employed,Population Age 16 and over,2012,B23025,B23025_004E
223,Var_2012_LF_5,Unemployed,Population Age 16 and over,2012,B23025,B23025_005E
224,Var_2012_LF_6,Armed Forces,Population Age 16 and over,2012,B23025,B23025_006E
225,Var_2012_LF_7,Not in Labor Force,Population Age 16 and over,2012,B23025,B23025_007E
226,Var_2012_LF_Per_2,In Labor Force,Percent of total population age 16 and over,2012,B23025,Var_2012_LF_2/Var_2012_LF_1
227,Var_2012_LF_Per_3,Civilian Labor Force,Percent of total population age 16 and over,2012,B23025,Var_2012_LF_3/Var_2012_LF_1
228,Var_2012_LF_Per_4,Employed,Percent of total population age 16 and over,2012,B23025,Var_2012_LF_4/Var_2012_LF_1
229,Var_2012_LF_Per_5,Unemployed,Percent of total population age 16 and over,2012,B23025,Var_2012_LF_5/Var_2012_LF_1
230,Var_2012_LF_Per_6,Armed Forces,Percent of total population age 16 and over,2012,B23025,Var_2012_LF_6/Var_2012_LF_1
231,Var_2012_LF_Per_7,Not in Labor Force,Percent of total population age 16 and over,2012,B23025,Var_2012_LF_7/Var_2012_LF_1
232,Var_2022_LF_1,Total Population Age 16 and over,Population Age 16 and over,2022,B23025,B23025_001E
233,Var_2022_LF_2,In Labor Force,Population Age 16 and over,2022,B23025,B23025_002E
