trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
45090,89,1,INBOUND-EAST LIBERTY,,1,89 -318,shp-89-01,1,1
4509090,93,1,INBOUND-GLEN HAZEL,,1,93 -334,shp-93-01,1,1
4510090,64,1,INBOUND-LAWRENCEVILLE,,1,64 -222,shp-64-02,1,1
451070,87,3,OUTBOUND-LAWRENCEVILLE SHOPPING CENTER,,0,86 -416,shp-87-54,1,1
4511010,15,2,OUTBOUND-SUMMER HILL,,0,15 -042,shp-15-52,1,1
4512020,71C,4,INBOUND-OAKLAND,,1,71C-545,shp-71C-01,1,1
4513090,17,1,INBOUND-DOWNTOWN,,1,17 -055,shp-17-02,1,1
4514020,P16,4,INBOUND-DOWNTOWN,,1,P16 -800,shp-P16-02,1,1
4515010,4,2,INBOUND-DOWNTOWN,,1,91 -322,shp-4-01,1,1
4516020,86,4,OUTBOUND-WILKINSBURG,,0,82 -636,shp-86-52,1,1
4517020,26,4,OUTBOUND-CRAFTON INGRAM SHOPPING CENTER,,0,26 -161,shp-26-51,1,1
4518090,86,1,INBOUND-DOWNTOWN,,1,71C-260,shp-86-01,1,1
4519020,48,4,OUTBOUND-SOUTH HILLS JUNCTION,,0,29 -186,shp-48-52,1,1
4520010,13,2,OUTBOUND-WEST VIEW,,0,13 -035,shp-13-51,1,1
452070,P1,3,OUTBOUND-SWISSVALE,,0,P1  -453,shp-P1-52,1,1
4521010,61D,2,OUTBOUND-WATERFRONT,,0,59 -170,shp-61D-52,1,1
4522070,61C,3,OUTBOUND-MCKEESPORT,,0,61A-256,shp-61C-52,1,1
4523090,71B,1,OUTBOUND-HIGHLAND PARK,,0,71B-244,shp-71B-52,1,1
4524020,71C,4,OUTBOUND-WILKINSBURG,,0,71D-571,shp-71C-51,1,1
4525090,27,1,INBOUND-DOWNTOWN,,1,24 -076,shp-27-01,1,1
4526070,56,3,OUTBOUND-PENN STATE - MCKEESPORT,,0,59 -217,shp-56-51,1,1
4527020,4,4,OUTBOUND-TROY HILL,,0,11 -050,shp-4-52,1,1
4528020,8,4,INBOUND-DOWNTOWN,,1,8 -049,shp-8-01,1,1
4529020,8,4,INBOUND-DOWNTOWN,,1,8 -036,shp-8-01,1,1
4530090,89,1,OUTBOUND-GARFIELD COMMONS,,0,89 -318,shp-89-51,1,1
453010,44,2,OUTBOUND-ST CLAIR,,0,48 -120,shp-44-54,1,1
4531090,61C,1,INBOUND-DOWNTOWN,,1,61C-211,shp-61C-02,1,1
